dvcat,weight,dead,airbag,seatbelt,frontal,sex,ageOFocc,yearacc,yearVeh,abcat,occRole,deploy,caseid
25-39,71.4059999994934,alive,airbag,belted,1,f,37,2001,1999.0,deploy,driver,1,12:94:1
10-24,3676.25599998236,alive,airbag,belted,0,f,29,2002,1993.0,nodeploy,driver,0,43:297:2
40-54,239.83199999854,alive,none,belted,1,m,44,1997,1987.0,unavail,driver,0,43:10:1
10-24,12.8359999998938,alive,airbag,none,0,m,49,1997,1994.0,nodeploy,driver,0,72:15:1
10-24,76.3099999995902,alive,none,belted,1,f,52,1997,1985.0,unavail,driver,0,45:55:3
25-39,442.05199999734805,alive,none,none,1,m,18,1998,1988.0,unavail,driver,0,11:186:2
10-24,1711.72599999607,alive,airbag,belted,0,f,17,1999,1997.0,nodeploy,driver,0,45:89:1
40-54,16.8369999998249,alive,airbag,belted,0,m,20,2001,1994.0,nodeploy,pass,0,74:77:1
25-39,1942.2519999891501,alive,airbag,belted,1,m,51,2001,2000.0,nodeploy,driver,0,45:46:2
10-24,2539.2899999916604,alive,airbag,belted,1,f,44,2002,2001.0,nodeploy,driver,0,74:2:3
10-24,153.576999999583,alive,airbag,belted,1,m,49,1999,1996.0,deploy,driver,1,8:219:1
10-24,384.079999998212,alive,none,belted,1,m,35,1999,1986.0,unavail,driver,0,74:24:2
10-24,89.875,alive,airbag,none,0,m,36,2001,1998.0,nodeploy,driver,0,49:9:1
40-54,26.232999999774602,alive,none,none,1,m,30,1997,1987.0,unavail,pass,0,2:33:1
40-54,68.0829999996349,alive,airbag,none,0,m,18,1999,1994.0,deploy,driver,1,73:115:1
10-24,21.425999999977602,alive,none,none,0,f,19,2000,1989.0,unavail,driver,0,74:77:2
25-39,186.94199999980597,alive,airbag,belted,1,m,79,1998,1994.0,deploy,driver,1,8:40:1
10-24,1734.22799998522,alive,none,belted,1,f,26,1999,1986.0,unavail,driver,0,74:159:1
10-24,452.00399999693,alive,airbag,belted,1,m,36,2000,1997.0,nodeploy,driver,0,73:124:1
25-39,40.0699999998324,alive,airbag,belted,0,m,27,1998,1997.0,nodeploy,driver,0,75:11:1
10-24,104.05399999953801,alive,none,none,0,m,36,2002,1971.0,unavail,driver,0,75:69:1
40-54,32.519999999553,alive,airbag,belted,0,f,19,1998,1995.0,nodeploy,driver,0,73:74:1
25-39,3.69799999997485,alive,none,none,1,f,34,2000,1993.0,unavail,driver,0,82:136:1
40-54,102.464999999851,alive,airbag,none,0,f,52,2001,1998.0,deploy,driver,1,78:117:1
10-24,180.27599999867402,alive,airbag,belted,1,f,75,2002,1995.0,nodeploy,driver,0,79:67:1
10-24,161.67699999921,alive,none,belted,1,m,71,2002,1985.0,unavail,driver,0,48:201:2
40-54,135.835999999195,alive,none,none,1,m,58,1998,1984.0,unavail,driver,0,76:10:1
40-54,134.746999999508,alive,airbag,belted,0,m,70,1998,1998.0,nodeploy,pass,0,11:211:2
10-24,0.0,alive,airbag,none,0,m,31,1998,1998.0,deploy,pass,1,82:801:2
10-24,966.781999997795,alive,airbag,belted,1,m,54,2001,1995.0,deploy,driver,1,11:83:1
40-54,39.1549999997951,alive,none,belted,1,f,69,1997,1983.0,unavail,driver,0,9:104:1
25-39,117.703999999911,dead,none,belted,0,m,45,1997,1981.0,unavail,driver,0,9:122:1
10-24,114.45799999963499,alive,airbag,belted,1,f,49,2002,2001.0,nodeploy,driver,0,50:80:1
10-24,375.55199999734805,alive,airbag,belted,0,f,18,2001,1998.0,deploy,driver,1,48:157:1
10-24,131.143999999389,alive,airbag,belted,1,m,74,2002,1997.0,deploy,driver,1,13:107:2
10-24,337.107999999076,alive,none,belted,1,f,19,1997,1992.0,unavail,pass,0,43:118:1
10-24,2208.12599998713,alive,none,belted,0,m,50,2002,1990.0,unavail,driver,0,48:62:2
10-24,450.807999998331,alive,none,none,1,m,19,1997,1986.0,unavail,driver,0,79:25:1
10-24,105.49299999978399,alive,airbag,belted,0,f,34,1998,1993.0,nodeploy,driver,0,75:160:2
40-54,186.94199999980597,alive,none,none,1,m,84,1998,1988.0,unavail,pass,0,8:70:2
10-24,1294.6129999905802,alive,airbag,belted,1,m,25,2002,1994.0,nodeploy,driver,0,2:113:1
10-24,86.98599999956791,alive,none,none,0,f,58,1998,1983.0,unavail,pass,0,13:241:1
10-24,749.517999999225,alive,airbag,belted,0,f,35,1999,1994.0,nodeploy,driver,0,48:63:1
10-24,139.62899999879298,alive,airbag,belted,1,f,18,2000,1999.0,nodeploy,pass,0,82:15:1
25-39,2767.29399999976,alive,none,none,1,m,33,1998,1988.0,unavail,driver,0,48:9:1
10-24,118.566999999806,alive,none,belted,1,f,43,1998,1991.0,unavail,pass,0,5:152:2
1-9km/h,7032.53699994087,alive,airbag,none,0,f,30,1999,1998.0,nodeploy,driver,0,73:1:2
10-24,175.216999998316,alive,none,belted,0,m,61,2002,1988.0,unavail,driver,0,43:102:2
10-24,11.0909999998985,alive,none,belted,0,f,38,2000,1986.0,unavail,pass,0,79:114:4
25-39,59.6539999996312,dead,none,none,1,m,55,1999,1995.0,unavail,driver,0,9:141:1
40-54,62.085999999661,alive,none,none,1,m,21,2001,1986.0,unavail,driver,0,45:189:1
10-24,19.833999999798802,alive,airbag,belted,1,f,74,1997,1996.0,deploy,pass,1,4:75:1
40-54,20.2559999998193,alive,airbag,none,0,f,22,1998,1992.0,nodeploy,driver,0,5:53:1
40-54,132.929999999702,alive,none,none,1,m,20,1999,1988.0,unavail,driver,0,78:84:1
10-24,306.79199999943404,alive,airbag,belted,1,m,39,1998,1997.0,nodeploy,pass,0,43:163:2
40-54,15.8399999999674,alive,none,none,1,m,50,1997,1982.0,unavail,driver,0,72:85:3
10-24,233.350999999791,alive,none,none,0,m,20,2001,1986.0,unavail,driver,0,48:181:2
10-24,34.0529999998398,alive,airbag,none,0,m,25,1997,1995.0,nodeploy,driver,0,12:30:1
25-39,16.1909999998752,alive,airbag,belted,1,m,34,2001,2000.0,deploy,driver,1,9:35:1
25-39,254.564999999478,alive,none,none,1,m,16,2001,1984.0,unavail,driver,0,48:64:1
25-39,148.957999998704,alive,none,belted,1,f,74,2001,1989.0,unavail,pass,0,78:27:3
40-54,91.42699999921021,alive,airbag,belted,0,f,17,1999,1996.0,deploy,pass,1,13:33:1
10-24,86.22099999990309,alive,airbag,belted,1,m,16,2000,1996.0,deploy,pass,1,13:181:1
25-39,399.62399999797304,alive,airbag,belted,1,f,28,2001,1997.0,deploy,driver,1,12:77:1
25-39,18.654999999795102,alive,none,belted,0,m,22,2002,1986.0,unavail,driver,0,73:174:2
25-39,24.2439999999478,alive,none,none,1,m,34,2000,1991.0,unavail,driver,0,74:180:2
25-39,14.1849999999395,alive,airbag,belted,1,f,16,1999,1997.0,deploy,driver,1,74:7:2
10-24,310.85299999639403,dead,none,belted,0,m,89,2002,1992.0,unavail,pass,0,41:81:1
10-24,223.958999998868,alive,airbag,none,0,m,17,2000,1994.0,nodeploy,driver,0,8:145:2
25-39,18.121999999973898,alive,none,none,1,m,51,1998,1988.0,unavail,driver,0,12:210:1
40-54,228.634999999776,alive,none,belted,1,m,23,1998,1993.0,unavail,driver,0,13:223:1
25-39,30.2979999999516,alive,none,belted,1,f,43,1999,1997.0,unavail,pass,0,73:8:1
10-24,69.4639999996871,alive,airbag,none,1,f,19,1998,1997.0,deploy,driver,1,4:116:1
25-39,227.634999999776,alive,none,belted,1,f,16,1999,1989.0,unavail,driver,0,13:102:1
40-54,483.227999996394,alive,none,belted,1,f,19,2000,1992.0,unavail,driver,0,11:104:1
40-54,22.6619999997783,alive,airbag,none,1,m,27,1998,1994.0,deploy,driver,1,6:68:1
10-24,4.28999999997905,alive,airbag,belted,1,f,39,2001,2000.0,deploy,driver,1,72:65:1
10-24,41.1829999997281,alive,none,none,1,f,36,1998,1993.0,unavail,driver,0,73:43:1
10-24,325.809999998659,alive,airbag,belted,0,f,44,1998,1994.0,nodeploy,driver,0,13:193:2
10-24,574.186999998987,alive,none,belted,1,f,18,1998,1987.0,unavail,driver,0,75:128:2
25-39,257.97799999639403,alive,airbag,belted,1,m,29,2002,1999.0,deploy,pass,1,11:193:1
25-39,18.1639999998733,alive,airbag,belted,1,f,87,1999,1997.0,deploy,pass,1,41:98:2
10-24,327.650999996811,alive,none,belted,1,m,21,1999,1992.0,unavail,driver,0,41:109:1
25-39,38.993999999947796,alive,airbag,belted,1,m,34,2002,2001.0,deploy,driver,1,11:30:2
10-24,47.502999999560394,alive,none,belted,0,m,36,1998,1986.0,unavail,driver,0,43:268:1
40-54,55.697999999858396,alive,none,none,1,f,25,1999,1988.0,unavail,driver,0,45:217:1
40-54,49.689999999944106,dead,none,belted,0,f,19,1998,1992.0,unavail,driver,0,11:136:1
10-24,119.041999999434,alive,airbag,belted,0,m,40,2001,1994.0,deploy,driver,1,11:93:2
10-24,605.276999995112,alive,none,none,1,m,53,1999,1990.0,unavail,driver,0,8:136:2
25-39,173.117999998853,alive,airbag,none,1,f,22,1999,1988.0,deploy,driver,1,11:48:1
10-24,179.94399999827098,alive,none,none,1,f,45,1999,1994.0,unavail,pass,0,12:166:1
55+,44.9729999997653,alive,airbag,belted,1,m,27,1998,1994.0,deploy,driver,1,9:155:1
25-39,100.396999999881,alive,none,none,1,f,44,1999,1987.0,unavail,pass,0,73:44:1
10-24,9.82899999991059,alive,airbag,none,0,f,19,2000,1993.0,deploy,driver,1,74:38:1
10-24,53.6649999995716,alive,none,belted,0,m,23,1998,1990.0,unavail,driver,0,11:124:2
25-39,50.948999999556705,alive,airbag,belted,1,f,28,2001,1998.0,deploy,driver,1,41:49:2
25-39,48.829999999608795,alive,none,belted,0,f,39,1999,1988.0,unavail,driver,0,9:103:2
55+,94.9479999998584,alive,none,belted,1,m,24,2000,1991.0,unavail,pass,0,45:85:1
25-39,133.762999998406,alive,none,none,1,f,19,1997,1982.0,unavail,pass,0,13:50:1
10-24,440.461999997497,alive,airbag,belted,0,f,37,1997,1992.0,nodeploy,driver,0,2:43:1
10-24,136.380999999121,alive,none,belted,0,f,75,1999,1989.0,unavail,driver,0,74:87:2
10-24,380.454999998212,alive,none,belted,0,f,31,2000,1993.0,unavail,driver,0,49:60:2
25-39,98.94299999997021,alive,airbag,belted,1,f,37,1999,1999.0,deploy,driver,1,11:109:3
25-39,260.21799999847997,alive,airbag,none,0,m,16,2000,1999.0,nodeploy,driver,0,76:126:2
25-39,20.7379999998957,alive,none,none,1,m,29,2002,1988.0,unavail,driver,0,72:33:1
10-24,475.337999999523,alive,none,belted,1,m,56,1998,1983.0,unavail,driver,0,41:145:1
40-54,30.289999999804397,alive,none,belted,0,f,32,1997,1984.0,unavail,driver,0,12:89:1
40-54,237.430999999866,alive,airbag,none,1,m,16,1998,1995.0,deploy,pass,1,78:146:1
25-39,30.289999999804397,alive,none,none,1,f,29,1997,1991.0,unavail,driver,0,12:209:1
55+,49.7679999996908,alive,none,belted,1,f,27,1998,1995.0,unavail,driver,0,43:301:2
10-24,328.91099999845,alive,none,belted,0,f,16,1997,1991.0,unavail,pass,0,2:128:1
10-24,73.39499999955301,alive,airbag,none,1,f,87,2002,1999.0,deploy,driver,1,78:126:1
25-39,45.6529999999329,alive,airbag,belted,1,f,56,2001,2000.0,deploy,pass,1,11:24:3
25-39,20.5059999998193,alive,none,belted,1,m,67,2000,1988.0,unavail,driver,0,9:145:2
10-24,784.88599999994,alive,none,belted,1,m,42,2002,1986.0,unavail,driver,0,81:25:2
1-9km/h,7.1189999999478495,alive,none,belted,0,f,20,1997,1986.0,unavail,driver,0,49:77:3
10-24,148.65599999949302,alive,airbag,none,0,f,44,1999,1996.0,nodeploy,driver,0,8:122:2
25-39,46.323999999556705,alive,airbag,belted,1,m,29,2002,1999.0,deploy,driver,1,43:144:1
25-39,58.8619999997318,alive,none,belted,1,m,20,1998,1994.0,unavail,driver,0,45:26:2
25-39,40.1649999995716,alive,airbag,none,1,f,45,1997,1996.0,deploy,driver,1,45:162:1
10-24,44.069999999832405,alive,airbag,belted,1,m,19,2000,1993.0,deploy,driver,1,81:53:3
25-39,23.897999999811898,alive,airbag,belted,0,m,46,1999,1997.0,nodeploy,driver,0,4:23:1
25-39,161.066999999806,alive,none,none,1,m,18,1999,1986.0,unavail,pass,0,48:216:2
25-39,23.4269999999087,alive,none,none,1,m,20,1998,1994.0,unavail,pass,0,74:110:1
10-24,113.81499999947799,alive,airbag,belted,0,m,48,2000,1999.0,deploy,driver,1,49:38:1
10-24,890.817999996245,alive,airbag,belted,1,f,53,2000,2000.0,nodeploy,driver,0,81:61:1
10-24,44.6689999997616,alive,none,belted,0,m,60,1997,1990.0,unavail,driver,0,75:98:2
10-24,42.5999999996275,alive,airbag,belted,1,m,26,1999,1994.0,deploy,driver,1,72:28:2
1-9km/h,69.7829999998212,alive,airbag,belted,0,m,32,1999,1998.0,nodeploy,pass,0,72:167:2
25-39,57.245999999809996,alive,none,none,1,f,20,1999,1987.0,unavail,driver,0,2:61:1
10-24,18.808999999892002,alive,none,belted,1,f,24,2000,1983.0,unavail,driver,0,41:7:1
55+,42.6089999997057,dead,airbag,belted,0,m,18,1999,1995.0,nodeploy,driver,0,43:28:2
10-24,963.451999999583,alive,airbag,belted,1,f,18,2000,1997.0,deploy,driver,1,48:58:2
25-39,100.519999999553,alive,airbag,belted,1,m,23,2002,2001.0,deploy,driver,1,9:1:1
25-39,195.929999999702,alive,airbag,belted,0,m,22,1999,1996.0,nodeploy,driver,0,48:96:2
10-24,395.637999996543,alive,none,belted,1,f,36,1997,1992.0,unavail,pass,0,13:41:2
1-9km/h,166.451999999583,alive,none,belted,1,m,29,2000,1997.0,unavail,driver,0,74:99:1
10-24,42.4499999997206,alive,airbag,belted,1,m,36,2002,1995.0,deploy,pass,1,75:132:3
25-39,17.4679999998771,alive,none,belted,1,f,21,2001,1985.0,unavail,driver,0,49:100:2
40-54,81.6459999997169,alive,none,belted,0,f,79,2000,1988.0,unavail,driver,0,13:95:1
10-24,23.8129999998491,alive,airbag,belted,1,m,33,2001,2000.0,nodeploy,driver,0,49:45:1
10-24,60.5289999996312,alive,none,belted,1,m,21,1999,1990.0,unavail,pass,0,75:42:1
10-24,419.10199999809305,alive,airbag,belted,1,f,49,2001,2000.0,deploy,driver,1,12:52:2
25-39,440.80199999734805,alive,airbag,belted,1,m,28,2002,1998.0,deploy,pass,1,43:123:3
25-39,48.829999999608795,alive,none,belted,0,m,46,1999,1988.0,unavail,pass,0,9:103:2
10-24,647.7329999953511,alive,airbag,none,1,m,55,2000,1995.0,deploy,driver,1,8:97:1
10-24,3.0279999999911498,alive,none,belted,1,f,24,1997,1991.0,unavail,driver,0,79:129:1
25-39,266.071999996901,alive,none,none,1,m,19,1998,1978.0,unavail,driver,0,12:203:1
10-24,5.006999999983241,alive,airbag,none,0,m,24,1998,1994.0,deploy,driver,1,82:153:1
10-24,28.1659999999683,alive,none,belted,1,f,17,1997,1993.0,unavail,driver,0,4:3:2
40-54,12.256999999983199,alive,none,belted,0,m,23,2002,1988.0,unavail,pass,0,79:62:1
10-24,750.681999996305,alive,airbag,belted,1,m,19,2001,2001.0,nodeploy,pass,0,11:155:1
10-24,13.857999999891,alive,none,none,0,m,37,2000,1982.0,unavail,driver,0,74:42:1
25-39,5.35499999998137,dead,none,belted,1,f,88,1998,1969.0,unavail,pass,0,82:8:2
55+,262.464999999851,alive,none,none,1,m,31,1998,1987.0,unavail,pass,0,4:101:2
10-24,14.7869999998948,alive,none,belted,1,m,79,2000,1988.0,unavail,driver,0,72:108:1
25-39,1181.13799999654,alive,none,none,1,m,21,1997,1990.0,unavail,driver,0,48:38:1
55+,61.584999999962704,alive,airbag,belted,1,m,34,2001,1996.0,deploy,driver,1,78:90:1
25-39,1858.71099999547,alive,none,belted,0,m,37,2002,1988.0,unavail,driver,0,13:138:2
25-39,138.088999999687,alive,airbag,belted,1,m,28,1998,1995.0,deploy,driver,1,82:86:2
25-39,51.5889999996871,dead,airbag,none,0,f,41,2000,1996.0,nodeploy,pass,0,45:174:1
10-24,84.4819999998435,alive,none,none,1,m,59,2002,1988.0,unavail,pass,0,2:119:1
10-24,156.159999998286,alive,none,belted,0,f,51,2000,1990.0,unavail,driver,0,75:69:2
10-24,1360.2689999938,alive,airbag,belted,0,f,27,1998,1998.0,nodeploy,pass,0,43:277:1
25-39,3479.2579999864097,alive,none,belted,1,m,16,1999,1989.0,unavail,driver,0,81:88:1
1-9km/h,2168.10799998045,alive,none,belted,1,f,25,1998,1994.0,unavail,driver,0,75:45:1
10-24,114.493999999948,alive,airbag,belted,1,f,16,2002,2001.0,nodeploy,pass,0,11:107:2
10-24,666.694999992847,alive,none,belted,0,m,50,2000,1992.0,unavail,driver,0,13:168:2
10-24,38.5949999997392,alive,airbag,belted,0,m,19,1997,1997.0,deploy,pass,1,43:226:1
40-54,91.27899999916549,alive,airbag,belted,1,m,37,2000,1995.0,deploy,driver,1,8:23:2
10-24,57.292999999597704,alive,none,belted,1,f,16,2002,1989.0,unavail,driver,0,79:118:1
55+,11.737999999895699,alive,airbag,none,1,m,23,1999,1999.0,deploy,driver,1,49:110:1
25-39,11.2919999998994,alive,airbag,none,1,f,50,2001,1992.0,deploy,driver,1,81:84:1
25-39,42.8339999997988,alive,airbag,belted,0,m,22,1997,1993.0,nodeploy,pass,0,45:25:1
10-24,727.7699999958279,alive,airbag,belted,1,m,44,2000,1996.0,deploy,driver,1,43:34:2
10-24,208.384999999776,alive,airbag,belted,1,m,35,2001,1993.0,deploy,driver,1,43:9:1
10-24,246.945999998599,alive,none,belted,1,f,57,1999,1990.0,unavail,driver,0,12:203:1
40-54,41.2299999999814,alive,airbag,belted,0,f,22,2001,1996.0,deploy,driver,1,11:162:1
10-24,951.414999999106,alive,none,belted,1,f,63,1997,1987.0,unavail,driver,0,13:175:1
25-39,264.514999996871,alive,airbag,belted,0,m,17,1997,1994.0,deploy,driver,1,43:263:1
10-24,1039.65099999309,alive,none,none,1,f,47,2000,1977.0,unavail,driver,0,81:48:1
40-54,24.442999999970198,dead,none,none,1,m,59,2002,1991.0,unavail,driver,0,12:154:1
25-39,9.04499999992549,alive,none,belted,1,m,46,1997,1978.0,unavail,driver,0,49:205:2
25-39,67.5129999993369,dead,airbag,none,0,m,44,2000,1995.0,deploy,driver,1,45:128:1
10-24,2059.2159999907,alive,none,belted,1,f,77,1998,1985.0,unavail,driver,0,75:113:1
10-24,277.432999998331,alive,airbag,belted,1,m,34,1997,1996.0,nodeploy,pass,0,78:21:2
25-39,143.887999998406,alive,none,none,1,m,41,2002,1989.0,unavail,driver,0,5:50:1
55+,124.121999999508,dead,airbag,belted,1,m,56,2001,2001.0,deploy,driver,1,76:111:1
10-24,476.73199999705,alive,none,none,0,m,22,2002,1992.0,unavail,driver,0,48:50:1
40-54,20.633999999845397,alive,airbag,none,0,f,28,2001,2001.0,deploy,pass,1,81:62:1
10-24,415.54999999702005,alive,airbag,belted,1,m,26,1999,1998.0,deploy,driver,1,11:71:1
10-24,1053.79399999976,alive,airbag,belted,1,f,22,1997,1993.0,nodeploy,driver,0,13:89:2
10-24,106.393999999389,alive,airbag,none,0,m,23,2001,1994.0,deploy,driver,1,5:153:2
40-54,570.3579999953511,alive,none,belted,1,m,39,1998,1966.0,unavail,driver,0,5:80:2
10-24,59.6629999997094,alive,airbag,none,0,f,30,1999,1998.0,deploy,driver,1,12:45:2
10-24,792.490999996662,alive,airbag,belted,1,m,39,2002,1996.0,deploy,pass,1,78:53:2
40-54,1047.8609999865303,alive,none,belted,1,f,35,1999,1988.0,unavail,driver,0,13:142:1
10-24,49.4149999995716,dead,none,none,1,f,22,2000,1993.0,unavail,pass,0,45:18:1
25-39,186.54799999855499,alive,none,none,1,f,20,2002,1987.0,unavail,driver,0,41:33:1
40-54,212.458999998868,alive,none,none,1,m,17,1998,1987.0,unavail,driver,0,41:73:2
25-39,31.450999999884502,alive,airbag,belted,1,f,37,1998,1995.0,deploy,driver,1,2:60:1
25-39,55.243999999947796,alive,airbag,belted,1,m,26,2001,1991.0,deploy,driver,1,9:38:2
10-24,838.244999997318,alive,none,belted,1,m,17,2001,1988.0,unavail,driver,0,13:106:1
10-24,37.230999999679604,alive,none,belted,1,f,55,1998,1981.0,unavail,pass,0,2:140:2
25-39,396.08099999651296,alive,none,belted,1,f,36,1999,1987.0,unavail,pass,0,43:51:2
1-9km/h,553.538999997079,alive,none,belted,1,f,51,1997,1987.0,unavail,driver,0,4:99:1
10-24,1924.1879999935602,alive,airbag,belted,0,f,42,2002,1995.0,nodeploy,driver,0,75:16:1
10-24,443.554999999702,alive,airbag,belted,0,f,39,1998,1990.0,deploy,driver,1,5:113:1
10-24,10.2049999999581,alive,none,belted,1,m,70,2000,1987.0,unavail,driver,0,74:138:2
10-24,144.941999999806,alive,airbag,none,0,f,21,2002,2002.0,nodeploy,driver,0,2:32:2
25-39,198.590999998152,alive,airbag,none,1,f,19,2000,1999.0,nodeploy,pass,0,48:10:1
10-24,783.280999995768,alive,airbag,belted,0,f,62,1998,1995.0,nodeploy,driver,0,8:58:2
10-24,20.7029999999795,alive,airbag,belted,0,m,25,1997,1996.0,deploy,driver,1,9:89:1
55+,21.9659999997821,alive,none,none,1,m,20,1999,1991.0,unavail,pass,0,74:15:1
55+,76.18199999909851,dead,airbag,none,1,m,51,2001,2000.0,deploy,driver,1,5:46:1
10-24,1458.59299999475,alive,airbag,belted,1,m,77,2001,2001.0,deploy,driver,1,5:155:1
25-39,1066.07899999619,alive,none,belted,1,f,80,2001,1987.0,unavail,driver,0,45:51:1
10-24,1443.08299998939,alive,none,none,1,m,19,2001,1991.0,unavail,driver,0,49:223:2
25-39,1601.46799999475,alive,none,none,1,m,17,2002,1984.0,unavail,pass,0,13:179:2
10-24,24.737999999895703,alive,airbag,belted,1,m,17,2001,2001.0,nodeploy,pass,0,79:62:2
10-24,1721.34299999475,alive,airbag,belted,0,f,39,1998,1998.0,nodeploy,driver,0,73:117:1
55+,37.454999999608795,alive,none,none,1,m,27,1999,1986.0,unavail,pass,0,12:64:1
25-39,91.8069999990985,alive,airbag,none,0,m,27,1997,1995.0,nodeploy,pass,0,45:160:1
10-24,3.9049999999988403,alive,airbag,belted,1,f,33,1997,1995.0,deploy,driver,1,82:148:1
1-9km/h,776.880999997258,alive,airbag,belted,0,m,41,2001,1999.0,nodeploy,driver,0,43:38:2
10-24,19.425999999977602,alive,airbag,none,1,m,36,1999,1999.0,nodeploy,driver,0,41:77:4
10-24,467.67499999702005,alive,none,belted,0,f,87,1999,1990.0,unavail,driver,0,4:16:1
40-54,46.5659999996424,dead,none,belted,1,f,46,1998,1988.0,unavail,driver,0,11:164:1
25-39,52.237999999895706,alive,airbag,none,0,m,24,2000,1998.0,nodeploy,driver,0,3:22:2
10-24,86.22099999990309,alive,airbag,belted,1,m,80,2000,1996.0,nodeploy,driver,0,13:156:1
10-24,589.4309999942781,alive,none,belted,1,f,51,1999,1992.0,unavail,driver,0,48:129:2
40-54,61.3439999995753,alive,none,none,1,f,66,2002,1990.0,unavail,driver,0,45:81:1
10-24,861.523999996483,alive,airbag,belted,1,f,25,2002,1993.0,nodeploy,driver,0,8:178:3
10-24,597.344999998808,alive,airbag,belted,1,m,43,1999,1997.0,deploy,driver,1,8:41:1
10-24,396.154999997467,alive,airbag,belted,1,m,37,1998,1998.0,nodeploy,driver,0,74:96:3
10-24,7505.8979999423,alive,none,belted,1,m,84,2000,1988.0,unavail,driver,0,8:71:1
40-54,295.346999999136,alive,none,none,1,m,28,2001,1986.0,unavail,driver,0,78:79:1
10-24,570.187999993563,alive,airbag,belted,1,f,18,1999,1996.0,nodeploy,driver,0,75:31:1
25-39,1441.3839999884399,alive,airbag,belted,1,f,21,2000,1996.0,deploy,driver,1,76:135:1
10-24,152.949999999255,alive,none,belted,1,m,78,1997,1985.0,unavail,driver,0,78:18:2
25-39,1266.6779999882,alive,none,belted,0,f,47,1997,1986.0,unavail,pass,0,74:89:2
10-24,167.818999998271,alive,none,belted,1,m,83,1998,1988.0,unavail,driver,0,2:62:1
10-24,188.805999999866,alive,none,belted,1,f,34,1998,1993.0,unavail,driver,0,41:106:1
1-9km/h,317.498999997973,alive,airbag,belted,0,f,49,2002,2002.0,nodeploy,driver,0,8:219:1
10-24,932.372999995947,alive,airbag,belted,1,f,21,1999,1994.0,deploy,driver,1,76:77:1
40-54,10.8309999998892,alive,airbag,belted,1,f,34,2000,1999.0,deploy,driver,1,74:26:3
10-24,186.15799999982102,alive,airbag,belted,1,f,53,2000,1997.0,deploy,pass,1,4:38:2
10-24,34.0529999998398,alive,airbag,belted,1,m,70,1997,1994.0,deploy,pass,1,12:173:1
25-39,2059.7609999775896,alive,none,belted,1,f,58,2000,1992.0,unavail,driver,0,73:14:1
25-39,46.5659999996424,alive,none,none,1,f,22,1998,1993.0,unavail,driver,0,11:214:2
25-39,6.19399999995949,alive,airbag,belted,1,f,27,1999,1998.0,deploy,driver,1,72:141:1
25-39,564.276999995112,alive,airbag,belted,1,f,21,1999,1997.0,deploy,pass,1,41:5:2
25-39,86.22099999990309,alive,none,none,1,f,17,2000,1986.0,unavail,pass,0,13:109:2
10-24,1267.2219999879599,alive,none,none,1,m,58,2000,1986.0,unavail,driver,0,73:169:2
25-39,602.876999996603,alive,none,none,1,f,42,1997,1985.0,unavail,driver,0,13:145:1
40-54,15.047999999951598,alive,airbag,none,0,f,23,2000,1997.0,nodeploy,driver,0,73:66:1
25-39,31.183999999892002,alive,none,belted,1,f,41,2000,1991.0,unavail,driver,0,5:56:2
10-24,389.564999997616,alive,none,none,0,m,31,1998,1986.0,unavail,driver,0,13:214:1
40-54,124.410999999382,dead,none,belted,1,f,57,2000,1993.0,unavail,driver,0,5:11:2
25-39,41.84799999976529,alive,airbag,belted,0,f,16,2002,2001.0,nodeploy,pass,0,45:30:1
25-39,18.111999999964603,alive,none,none,0,m,46,1999,1991.0,unavail,pass,0,74:166:1
10-24,128.22899999842,alive,airbag,belted,1,m,30,2000,1995.0,nodeploy,driver,0,5:80:2
10-24,93.5849999999627,alive,airbag,belted,0,m,30,1997,1994.0,nodeploy,driver,0,8:130:2
25-39,84.67699999921021,alive,none,none,1,m,43,1998,1991.0,unavail,driver,0,8:137:2
40-54,46.37699999986221,alive,none,none,1,m,16,1999,1987.0,unavail,driver,0,74:94:1
40-54,101.828999999911,alive,none,belted,1,m,39,2002,1991.0,unavail,driver,0,43:307:1
25-39,500.625,alive,none,belted,1,f,43,2001,1993.0,unavail,driver,0,9:84:1
25-39,26.0909999997821,alive,airbag,belted,0,m,18,2001,1998.0,nodeploy,pass,0,74:123:2
25-39,9.025999999954369,alive,airbag,belted,0,m,50,2002,1997.0,nodeploy,driver,0,74:42:3
10-24,150.900999998674,alive,none,belted,0,f,17,1999,1991.0,unavail,driver,0,2:10:1
25-39,354.193999998271,alive,none,belted,0,m,19,1999,1985.0,unavail,driver,0,12:85:1
10-24,161.24399999901698,alive,airbag,none,1,m,30,1998,1998.0,deploy,driver,1,9:130:1
55+,3.69599999999627,alive,none,belted,1,f,19,2001,1993.0,unavail,pass,0,72:85:1
25-39,56.281999999657295,alive,none,belted,0,m,71,1998,1984.0,unavail,driver,0,78:116:2
10-24,346.837999999523,alive,airbag,belted,1,m,35,2002,2002.0,deploy,driver,1,47:85:2
25-39,46.99199999962,alive,none,belted,0,f,22,1997,1994.0,unavail,driver,0,45:214:1
10-24,1117.3409999907,alive,airbag,belted,1,f,28,2000,2000.0,nodeploy,pass,0,11:61:2
10-24,823.9339999929069,alive,none,none,0,m,45,2001,1991.0,unavail,driver,0,8:107:2
10-24,3722.34199997783,alive,airbag,belted,0,f,48,1998,1997.0,nodeploy,driver,0,11:13:1
